"LOCATION","Value"
"South Korea",24.6
"Lithuania",24.4
"Latvia",18.1
"Russia",17.9
"Belgium",15.9
"Japan",15.2
"Hungary",15.1
"United States",13.9
"Finland",13.9
"France",13.1
"Estonia",13
"Austria",12.4
"Czech Republic",12.4
"Canada",11.8
"Poland",11.6
"Norway",11.6
"New Zealand",11.5
"Switzerland",11.2
"Sweden",11.1
"Chile",10.7
"Netherlands",10.5
"Germany",10.2
"Iceland",9.7
"Denmark",9.4
"Ireland",9.3
"Portugal",8.1
"United Kingdom",7.3
"Luxembourg",7.2
"Spain",6.8
"Brazil",6
"Costa Rica",5.8
"Italy",5.7
"Mexico",5.4
"Israel",5.4
"Colombia",5.2
"Greece",4
"South Africa",1
