"LOCATION","Value"
"South Korea",8.7
"Lithuania",12.3
"Latvia",11.2
"Russia",11.1
"Belgium",10.4
"Japan",7.2
"Hungary",11.1
"United States",8.9
"Finland",8.4
"France",11.7
"Estonia",10.3
"Austria",11.8
"Czech Republic",11.6
"Canada",8.2
"Poland",10.6
"Norway",6
"New Zealand",8.8
"Switzerland",9.2
"Sweden",7.1
"Chile",7.9
"Netherlands",8.3
"Germany",10.9
"Iceland",7.7
"Denmark",9.1
"Ireland",11
"Portugal",10.7
"United Kingdom",9.7
"Luxembourg",11.3
"Spain",8.6
"Brazil",6.3
"Costa Rica",3.8
"Italy",7.6
"Mexico",4.4
"Israel",2.6
"Colombia",4.5
"Greece",6.5
"South Africa",7.1
